date,lift_reason,det_facility,city,state,detainer_type
2008-06-05 00:00:00,United States Citizen Interviewed,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
2008-06-12 00:00:00,United States Citizen Interviewed,GEORGIA DEPT OF CORRECTIO,ATLANTA,GEORGIA,
2008-06-12 00:00:00,United States Citizen Interviewed,SAN DIEGO COUNTY JAIL,SAN DIEGO,CALIFORNIA,
2008-06-13 00:00:00,United States Citizen Interviewed,SAFFORD FED.CORR.INST.,SAFFORD,ARIZONA,
2008-06-14 00:00:00,United States Citizen Interviewed,ARAPAHOE COUNTY JAIL,CENTENNIAL,COLORADO,
2008-06-18 00:00:00,United States Citizen Interviewed,ORANGE COUNTY JAIL,SANTA ANA,CALIFORNIA,
2008-07-03 00:00:00,United States Citizen Interviewed,FAIRFAX CO. ADULT DETENTION CENTER,FAIRFAX,VIRGINIA,
2008-07-09 00:00:00,United States Citizen Interviewed,STANISLAUS COUNTY JAIL,MODESTO,CALIFORNIA,
2008-07-17 00:00:00,United States Citizen Interviewed,VISTA DETENTION FACILITY,VISTA,CALIFORNIA,
2008-07-31 00:00:00,United States Citizen Interviewed,"ACI, CRANSTON RI",CRANSTON,RHODE ISLAND,
2008-08-05 00:00:00,United States Citizen Interviewed,"ACI, CRANSTON RI",CRANSTON,RHODE ISLAND,
2008-08-07 00:00:00,United States Citizen Interviewed,DEUEL VOCATIONAL INSTITUT,TRACY,CALIFORNIA,
2008-08-13 00:00:00,United States Citizen Interviewed,EL PASO COUNTY JAIL (TX),EL PASO,TEXAS,
2008-08-14 00:00:00,United States Citizen Interviewed,OTHER-OTHER FACILITY,,,
2008-08-19 00:00:00,United States Citizen Interviewed,ASHLAND FED.CORR.INST.,ASHLAND,KENTUCKY,
2008-08-27 00:00:00,United States Citizen Interviewed,ASPC ALHAMBRA,PHOENIX,ARIZONA,
2008-08-28 00:00:00,United States Citizen Interviewed,MOSHANNON VALLEY CORRECTIONAL,PHILIPSBURG,PENNSYLVANIA,
