year,det_facility,lift_reason,count
2007,NO. KERN STATE PRISON,Case Closed,124
2007,NO. KERN STATE PRISON,Lifted,116
2007,NO. KERN STATE PRISON,Booked into Detention,96
2007,NO. KERN STATE PRISON,Transferred,46
2007,NO. KERN STATE PRISON,Early Release,24
2007,NO. KERN STATE PRISON,Alien Not Subject to Deportation,3
2007,NO. KERN STATE PRISON,United States Citizen Interviewed,1
2007,NO. KERN STATE PRISON,Died,1
2008,NO. KERN STATE PRISON,Lifted,557
2008,NO. KERN STATE PRISON,Booked into Detention,420
2008,NO. KERN STATE PRISON,Transferred,252
2008,NO. KERN STATE PRISON,Case Closed,223
2008,NO. KERN STATE PRISON,Early Release,61
2008,NO. KERN STATE PRISON,Detainer Declined by LEA,3
2008,NO. KERN STATE PRISON,Lifted - Lack of Funds,3
2008,NO. KERN STATE PRISON,Alien Not Subject to Deportation,2
2009,NO. KERN STATE PRISON,Booked into Detention,307
2009,NO. KERN STATE PRISON,Lifted,263
2009,NO. KERN STATE PRISON,Transferred,110
2009,NO. KERN STATE PRISON,Case Closed,55
2009,NO. KERN STATE PRISON,Early Release,16
2009,NO. KERN STATE PRISON,Lifted - Lack of Space,1
2009,NO. KERN STATE PRISON,Died,1
2010,NO. KERN STATE PRISON,Booked into Detention,323
2010,NO. KERN STATE PRISON,Lifted,125
2010,NO. KERN STATE PRISON,Transferred,48
2010,NO. KERN STATE PRISON,Case Closed,25
2010,NO. KERN STATE PRISON,Early Release,5
2010,NO. KERN STATE PRISON,Alien Not Subject to Deportation,1
2011,NO. KERN STATE PRISON,Booked into Detention,335
2011,NO. KERN STATE PRISON,Lifted,101
2011,NO. KERN STATE PRISON,Transferred,89
2011,NO. KERN STATE PRISON,Case Closed,52
2011,NO. KERN STATE PRISON,Early Release,4
2012,NO. KERN STATE PRISON,Booked into Detention,250
2012,NO. KERN STATE PRISON,Lifted,45
2012,NO. KERN STATE PRISON,Transferred,32
2012,NO. KERN STATE PRISON,Case Closed,16
2012,NO. KERN STATE PRISON,Alien Not Subject to Deportation,2
2012,NO. KERN STATE PRISON,United States Citizen Interviewed,1
2013,NO. KERN STATE PRISON,Booked into Detention,120
2013,NO. KERN STATE PRISON,Lifted,33
2013,NO. KERN STATE PRISON,Transferred,11
2013,NO. KERN STATE PRISON,Case Closed,8
2013,NO. KERN STATE PRISON,Early Release,1
2013,NO. KERN STATE PRISON,Detainer Declined by LEA,1
2014,NO. KERN STATE PRISON,Booked into Detention,44
2014,NO. KERN STATE PRISON,Lifted,5
2014,NO. KERN STATE PRISON,Transferred,2
2014,NO. KERN STATE PRISON,Early Release,2
2014,NO. KERN STATE PRISON,Case Closed,2
2015,NO. KERN STATE PRISON,Booked into Detention,1
2015,NO. KERN STATE PRISON,Prosecutorial Discretion,1
