pvt_facility,state,capacity,det_facility
,,,ALAMANCE CO. DET. FACILITY
,,,ALAMO POLICE DEPT.
,,,ALAMOSA COUNTY JAIL
,,,ALBANY COUNTY JAIL
,,,ALBEMARLE-CHARLOTTSVILLE
,,,ALBERMARIE DISTRICT JAIL
,,,ALBERT C WAGNER YOUTH C.F.
,,,ALBERTVILLE CITY JAIL
,,,ALBION CORRECTIONAL
,,,ALBUQUERQUE HOLD ROOM
,,,ALDERSON FED. PRISON CAMP
,,,ALEXANDER CITY POLICE DEPT.
,,,ALEXANDER COUNTY JAIL
,,,ALEXANDRIA CITY JAIL
,,,ALFALFA COUNTY JAIL
,,,ALGER CORRECTIONAL FACILITY
,,,ALGER COUNTY JAIL
,,,ALGOA CORRECTIONAL CENTER
,,,ALHAMBRA BHC HOSPITAL
,,,ALHAMBRA CITY JAIL
,,,ALICEVILLE FCI
,,,ALLAMAKEE COUNTY JAIL
,,,ALLEGAN CO SHERIFF & CORRECTIONS
,,,"ALLEGAN CO YOUTH, ALL.MI."
,,,ALLEGANY COUNTY JAIL
,,,ALLEGHANY COUNTY JAIL
,,,ALLEGHENY CO. JAIL
,,,ALLEGHENY DETENTION FAC.
,,,ALLEN CORRECTIONAL INST.
,,,ALLEN COUNTY DETENTION CENTER
,,,ALLEN COUNTY JAIL
,,,ALLEN PARISH JAIL
,,,ALLEN PARK POLICE DEPT.
,,,ALLEN POLICE DEPT.
,,,ALLENDALE COUNTY DET CENTER
,,,ALLENWOOD (LOW) FCI
,,,ALLENWOOD (MED) FCI
,,,ALLENWOOD FED.PRISON CAMP
,,,ALLENWOOD HOLD ROOM
,,,ALLENWOOD U.S.PEN.
,,,"ALPENA CO, ALPENA,MI."
,,,ALTERNATIVE HOUSE
,,,"ALTONA C.F., ALTONA"
,,,ALVIN POLICE DEPT.
,,,AMADOR COUNTY JAIL
,,,AMARILLO CITY JAIL
,,,AMHERST ADULT DETENTION CENTER
,,,AMHERST COUNTY JAIL
,,,AMHERST TOWN JAIL
,,,ANAHEIM CITY JAIL
,,,ANAMOSA STATE PENITENTIAR
,,,ANCHORAGE JAIL
,,,ANCHORAGE SUB-OFFICE HOLD ROOM
,,,ANDERSON CITY JAIL
,,,ANDERSON COUNTY DET CENTER
,,,ANDERSON COUNTY JAIL
,,,ANDREWS SHERRIF'S OFFICE CO JAIL
,,,ANDROSCOGGIN COUNTY JAIL
,,,ANGEL'S FLIGHT
,,,ANGELINA COUNTY JAIL
,,,ANGLETON POLICE DEPT.
,,,ANNAPOLIS POLICE DEPT.
,,,"ANNE ARUNDEL COUNTY PD, SD"
,,,ANNE ARUNDEL CTY DET CNTR
,,,ANNE KLEIN PHSYCHIATRIC INSTITUTE
,,,ANOKA CO. JUVENILE CENTER
,,,ANOKA COUNTY JAIL
,,,ANOKA COUNTY WORKHOUSE
,,,ANSON COUNTY JAIL
,,,ANTELOPE COUNTY JAIL
,,,ANTRIM COUNTY SHERIFF/JAIL
,,,"ANVIL MOUNTAIN CC, NOME,"
,,,APACHE CO. JAIL
,,,APPALACHEE CORRECTIONAL
,,,APPLETON POLICE DEPT.
,,,APPLING COUNTY JAIL
,,,APPOMATTOX COUNTY JAIL
,,,ARAB POLICE DEPT.
,,,ARANSAS COUNTY SHERIFF
,,,ARANSAS PASS POLICE DEPT.
,,,ARAPAHOE COUNTY JAIL
,,,ARCADIA POLICE DEPT.
,,,ARCHER COUNTY JAIL
,,,ARCHULETA COUNTY AJIL
,,,ARIZONA SERVICE PRISON COMPLEX
,,,ARIZONA STATE PRISON COMP
,,,ARK. D.O.C.- GRIMES UNIT
,,,ARK. D.O.C.- WRIGHTSVILLE
,,,ARK. D.O.C.-BENTON UNIT
,,,ARK. D.O.C.-CUMMINS UNIT
,,,ARK. D.O.C.-DELTA REG.UNIT
,,,ARK. D.O.C.-DIAGNOSTIC   .
,,,ARK. D.O.C.-MAX.SEC.UNIT
,,,ARK. D.O.C.-MCPHERSON UNIT
,,,ARK. D.O.C.-NORTH CENTRAL
,,,ARK. D.O.C.-PINEBLUFF UNIT
,,,ARK. D.O.C.-TEXARKANA UNIT
,,,ARK. D.O.C.-TUCKER UNIT
,,,ARK. D.O.C.-VARNER UNIT
,,,ARKANSAS COUNTY JAIL
,,,ARLINGTON CO JAIL
,,,ARLINGTON HEIGHTS POLICE DEPT
,,,ARLINGTON POLICE DEPT.
,,,ARMSTRONG COUNTY JAIL
,,,AROOSTOOK COUNTY JAIL
,,,ARTESIA CITY JAIL
,,,ARTESIA LAW ENFORCEMENT CENTER
,,,ARTHUR KILL CORR FAC S.I.
,,,ASCENSION PARISH PRISON
,,,ASHE COUNTY JAIL
,,,ASHLAND COUNTY JAIL
,,,ASHLAND COUNTY SHERIFF
,,,ASHLAND FED.CORR.INST.
,,,ASHLEY COUNTY JAIL
,,,ASHTABULA COUNTY JAIL
,,,ASOTIN COUNTY JAIL
,,,ASP COMP. EYEMAN
,,,ASPC ALHAMBRA
,,,ASPC ASPEN
,,,ASPC GLOBE
,,,ASPC LEWIS
,,,ATASCOSA COUNTY JAIL
,,,ATASCOSA COUNTY JUVENILE
,,,ATCHISON COUNTY SHERIFF'S OFFICE
,,,ATHENS COUNTY JAIL
,,,ATHENS-CLARKE CO. JAIL
,,,ATKINSON COUNTY JAIL
,,,ATLANTA DIST. HOLD RM
,,,ATLANTA PRETRIAL DETN CTR
,,,ATLANTA U.S. PEN.
,,,ATLANTIC COUNTY JAIL
,,,ATOKA COUNTY SHERIFF/JAIL
,,,ATTALA COUNTY DET. CENTER
,,,ATTICA C.F.
,,,AUBURN C.F.
,,,AUDRAIN COUNTY JAIL
,,,AUGLAIZE COUNTY JAIL
,,,AUGUSTA CO JAIL
,,,AURORA CITY JAIL
,,,AURORA POLICE DEPT.
,,,AUSTIN COUNTY SHERIFF
,,,AUSTIN DRO HOLD ROOM
,,,AUTAUGA COUNTY JAIL
,,,AVENAL STATE PRISON
,,,AVERY COUNTY JAIL
,,,AVON PARK CORRECTIONAL
,,,AVONDALE POLICE DEP'T.
,,,AVOYELLES PARISH CORR CTR
,,,AVOYELLES PARISH PRISON
,,,AZ DEPT OF CORRECTIONS
,,,AZ DPT CORRECTIONS DOU
,,,AZ DPT CORRECTIONS TUCSON
,,,AZUSA POLICE DEPT.
,,,B.B. RAYBURN COR. CENTER
,,,B.R.R.J. ABINGDON
,,,B.R.R.J. BEDFORD
,,,B.R.R.J. CAMPBELL
,,,B.R.R.J. DUFFIELD
,,,B.R.R.J. HALIFAX
,,,B.R.R.J. HAYSI
,,,B.R.R.J. LYNCHBURG
,,,B.R.R.J. TAZEWELL
,,,BACA COUNTY JAIL
,,,BACON COUNTY SHERIFF
,,,BAILEY COUNTY SHERIFF
,,,BAKER C. I.
,,,BAKER CCF
,,,BAKER COUNTY JAIL
,,,BAKER COUNTY SHERIFF
,,,BAKER COUNTY SHERIFF DEPT.
,,,BAKERFIELD HOLD
,,,BAL D D & P
,,,BALCH SPRINGS POLICE DEPT.
,,,BALDWIN COUNTY COR. CENTER
,,,BALDWIN COUNTY JAIL
,,,BALDWIN COUNTY SHERIFF
,,,BALLARD COUNTY JAIL
,,,BALLWIN POLICE DEPT.
,,,BALT CITY CENTRAL
,,,BALT CITY SOUTHWESTERN
,,,BALTIMORE CIT JAIL
,,,BALTIMORE CITY DETENTION CENTER
,,,BALTIMORE COUNTY DET. CENTER
,,,BALTIMORE PD-#9 WHITE MARSH
,,,BALTO.CITY NORTHWESTERN
,,,BALWIN CO REG JDC.
,,,BAMBERG COUNTY DET CENTER
,,,BANDERA COUNTY JAIL
,,,BANKS COUNTY SHERIFF
,,,BANNOCK COUNTY JAIL
,,,BAPTIST CHILD & FAMILY SERVICES
,,,BARBER COUNTY JAIL
,,,BARBOUR COUNTY JAIL
,,,BAREHILL CORRECTIONAL
,,,BARNES COUNTY JAIL
,,,BARNSTABLE COUNTY
,,,BARNWELL COUNTY JAIL
,,,BARREN COUNTY DET. CENTER
,,,BARRON COUNTY SHERIFF/JAIL
,,,BARROW COUNTY JAIL
,,,BARRY COUNTY JAIL
,,,BARTHOLOMEW COUNTY SHERIFF/JAIL
,,,BARTLETT POLICE DEPT.
,,,BARTON COUNTY JAIL
,,,BARTON COUNTY SHERIFF
,,,BARTOW CO JAIL
,,,BASILE DETENTION CENTER
,,,BASTROP COUNTY JAIL
,,,BASTROP FED.CORR.INST.
,,,BAXTER COUNTY JAIL
,,,BAY CITY POLICE DEPT.
,,,"BAY CO. JAIL, BAY CTY,MI."
,,,BAY COUNTY
,,,"BAY STATE CORR, NORFOLK"
,,,BAYAMON REGIONAL JAIL.
,,,BAYFIELD COUNTY SHERIFF
,,,BAYLEY SETON HOSPITAL
,,,BAYLOR COUNTY JAIL
,,,BAYOU LA BATRE POL DEPT JAIL
,,,BAYOU VISTA POLICE DEPT.
,,,BAYSIDE STATE PRISON
,,,BAYTOWN POLICE DEPT.
,,,BAYVIEW CORRECTIONAL FACILITY
,,,"BEACON CORRECTIONAL, NY"
,,,BEADLE CO. SD JAIL
,,,BEAUFORT COUNTY DET CENTER
,,,BEAUFORT COUNTY JAIL
,,,"BEAUMONT FCC, LOW"
,,,"BEAUMONT FCC, MEDIUM"
,,,BEAUMONT FED.CORR.CTR
,,,BEAUMONT FEDERAL PRISON
,,,BEAUMONT POLICE DEPT.
,,,BEAUREGARD PARISH JAIL
,,,BEAVER COUNTY JAIL
,,,BEAVER COUNTY SHERIFF/JAIL
,,,BEAVERHEAD CO DET CENTER
,,,BECKER COUNTY JAIL
,,,BECKHAM COUNTY JAIL
,,,BECKLEY  FED.CORR.INST.
,,,BEDFORD CITY JAIL
,,,BEDFORD COUNTY JAIL
,,,BEDFORD HEIGHTS CITY
,,,"BEDFORD HILLS, NY"
,,,BEE COUNTY SHERIFF
,,,BEECHER POLICE DEPT.
,,,BELKNAP COUNTY JAIL
,,,BELL COUNTY JAIL
,,,BELL COUNTY JUVENILE
,,,BELL GARDENS POLICE DEPT.
,,,BELL POLICE DEPT.
,,,BELLAIRE POLICE DEPT.
,,,BELLAMY CREEK CORR. FACILITY
,,,"BELLEVILLE PD, BELVIL, MI"
,,,BELLVILLE POLICE DEPT.
,,,BELMONT CORRECTIONAL
,,,BELMONT COUNTY JAIL
,,,BELTRAMI COUNTY JAIL
,,,BEN HILL COUNTY JAIL
,,,BENBROOK CITY JAIL
,,,BENNETTSVILLE F.C.I.
,,,BENSENVILLE POLICE DEPT.
,,,BENT COUNTY JAIL
,,,BENTON CO JAIL
,,,BENTON COUNTY
,,,BENTON COUNTY DETENTION CENTER
,,,BENTON COUNTY JAIL
,,,"BENZIE CO., BEULAH, MI"
,,,BEREA CITY JAIL
,,,BERGEN COUNTY JAIL
,,,BERKELEY CITY JAIL
,,,BERKELEY COUNTY DET CENTER
,,,BERKS CO. JUVENILE
,,,BERKS COUNTY FAMILY SHELTER
,,,"BERKS COUNTY JAIL, PA"
,,,BERKSHIRE CNTY PITTSFIELD
,,,BERLIN FED. CORR. INST.
,,,BERNALILLO COUNTY DET CTR
,,,"BERRIEN CO, ST.JO.,MI"
,,,BERRIEN COUNTY SHERIFF
,,,BERTIE COUNTY JAIL
,,,BERWYN POLICE DEPT.
,,,"BETHANY C.S.,GRAND RAPIDS"
,,,BETHANY CHILDRENS' HOME
,,,BETHEL POLICE DEPT.
,,,BEVERLY HILLS JAIL
,,,BEVERLY HILLS POLICE DEPT.
,,,BEXAR COUNTY JAIL
,,,BEXAR COUNTY JUVENILE
,,,BEXAR COUNTY WACKENHUT ANNUAL DET.
,,,BI STATE JUSTICE COMMITTE
,,,BIBB CORRECTIONAL CENTER
,,,BIBB COUNTY SHERIFF
,,,"BIG HORN COUNTY JAIL, MT"
,,,"BIG HORN COUNTY JAIL, WY"
,,,BIG MUDDY CORRECTIONAL CT
,,,BIG SANDY USP
,,,BIG SPRING FED.CORR.INST.
,,,BIG SPRING HOLD ROOM
,,,BILL JOHNSON CORR CENTER
,,,BINGHAM COUNTY JAIL
,,,BIRMINGHAM HOLD ROOM
,,,BLACK HAWK CO JAIL
,,,BLACKFORD COUNTY JAIL
,,,BLACKWELL CITY JAIL
,,,BLADEN COUNTY JAIL
,,,BLAINE COUNTY JAIL
,,,BLAIR COUNTY PRISON
,,,BLANCO COUNTY JAIL
,,,BLAND CORRECTIONAL CENTER
,,,BLECKLEY COUNTY SHERIFF
,,,BLOOMINGTON POLICE DEPT.
,,,BLOUNT COUNTY JAIL
,,,BLOUNT COUNTY JUSTICE CTR
,,,BLOUNT COUNTY JUV DET CENTER
,,,"BLUE EARTH CO. JAIL, MN"
,,,BLUE ISLAND P.D.
,,,BLUE SPRINGS POLICE DEPT.
,,,BOAZ CITY JAIL
,,,BOB WILEY DET FACILITY
,,,BOISE HOLD ROOM
,,,BOLINGBROOK POLICE DEPT.
,,,BOLIVAR COUNTY JAIL
,,,BONNER COUNTY DETENTION CENTER
,,,BONNEVILLE CO. JAIL
,,,BOONE COUNTY JAIL
,,,BOONE COUNTY SHERIFF/JAIL
,,,BOONVILLE CORR. CENTER
,,,BORDEN COUNTY JAIL
,,,BORGER POLICE DEPT.
,,,BOSQUE COUNTY SHERIFF'S DEPT.
,,,BOSSIER CITY POLICE DEPT.
,,,BOSSIER PARISH COR. CENTER
,,,BOST PRERELEASE DORCHESTE
,,,BOSTON HOLDROOM
,,,BOSTON POLICE DEPT
,,,"BOSTON POLICE DEPT, DISTRICT #3"
,,,BOSTON SPC
,,,BOTETOURT CORR. CENTER
,,,BOTETOURT COUNTY JAIL
,,,BOTTINEAU CO. ND JAIL
,,,BOULDER CITY NEVADA JAIL
,,,BOULDER COUNTY JAIL
,,,BOUNDARY COUNTY
,,,BOURBON CO DET CENTER
,,,BOURBON COUNTY SHERIFF
,,,BOWIE COUNTY JAIL
,,,BOWLING GREEN HOLD ROOM
,,,BOX BUTTE CO. JAIL
,,,BOX ELDER CO. JAIL
,,,BOYLE COUNTY DETENTION CENTER
,,,"BOYS & GIRLS HOME OF NEBRASKA, INC"
,,,BRADENTON DETENTION CENTER
,,,BRADFORD COUNTY JAIL
,,,BRADFORD COUNTY PRISON
,,,BRADLEY COUNTY SHERIFF'S OFFICE
,,,BRAINTREE POLICE DEPT
,,,"BRANCH CO, COLDWATER, MI"
,,,BRANCHVILLE CORRECTIONAL
,,,BRANSON POLICE DEPT.
,,,BRANTLEY COUNTY SHERIFF
,,,BRAZORIA COUNTY DET. CTR
,,,BRAZORIA POLICE DEPT.
,,,BRAZOS COUNTY JAIL
,,,BREA POLICE DEPT.
,,,BRECKSVILLE CITY JAIL
,,,"BREMER CO JAIL, IOWA"
,,,BRENHAM POLICE DEPT.
,,,BRENTWOOD POLICE DEPT.
,,,BREVARD CORRECTIONAL
,,,BREVARD COUNTY JAIL COMPLEX
,,,BREWSTER COUNTY JAIL
,,,BRIDGE CITY POLICE DEPT.
,,,BRIDGEPORT CORR CENTER
,,,BRIDGEPORT POLICE DEPT.
,,,BRIDGETON POLICE DEPT.
,,,BRISTOL CITY JAIL
,,,BRISTOL CNTY NDARTMOUTH
,,,"BRISTOL CTY, NEW BEDFORD"
,,,BROADVIEW HTS CITY JAIL
,,,BROADWATER COUNTY SHERIFF
,,,BROCKBRIDGE COR FAC
,,,BRONX CENTRAL BOOKING
,,,BRONX HSE OF DET/BRONX NY
,,,BROOKFIELD POLICE DEPT.
,,,"BROOKINGS CO , SD JAIL"
,,,BROOKLINE POLICE DEPT.
,,,BROOKLYN CENTRAL BOOKING
,,,BROOKLYN CORR CENTER
,,,BROOKLYN CORR.FAC.(BRIG)
,,,BROOKLYN HEIGHTS POLICE DEPT.
,,,BROOKLYN HOUSE OF DETENT.
,,,BROOKLYN MDC
,,,BROOKLYN PARK POLICE DEPT.
,,,BROOKS COUNTY JAIL (CONTRACT)
,,,"BROOKS COUNTY JAIL, (SHERIFF)"
,,,BROOKS COUNTY SHERIFF
,,,"BROOKS REG FAC,MUSKEG,MI"
,,,BROOKSHIRE POLICE DEPT.
,,,BROOME COUNTY JAIL
,,,BROOMFIELD DETENTION CENTER
,,,BROWARD CORRECTIONAL
,,,BROWARD COUNTY JAIL
,,,BROWARD GENERAL MEDICAL CENTER
,,,BROWN COUNTY JAIL
,,,BROWN COUNTY SHERIFF
,,,BROWNSTOWN POLICE DEPT.
,,,BROWNSVILLE POLICE DEPT.
,,,BRULE COUNTY JAIL
,,,BRUNSWICK COUNTY JAIL
,,,BRUSHY MOUNTAIN C.C.#1
,,,BRYAN COUNTY JAIL
,,,BRYAN COUNTY SHERIFF/JAIL
,,,BRYAN FED.PRIS.CAMP
,,,BRYAN POLICE DEPT
,,,BSCC AIRPARK UNIT
,,,BSCC CEDAR HILL UNIT
,,,BSCC FLIGHTLINE UNIT
,,,BSCC GILES DARBY FACILITY
,,,BSCC INTERSTATE UNIT
,,,BUCHANAN COUNTY JAIL
,,,BUCKLEY CITY JAIL
,,,"BUCKS CNTY JAIL, PA"
,,,BUENA PARK POLICE DEPT.
,,,BUENA VISTA CO JAIL
,,,BUFFALO CITY JAIL
,,,BUFFALO COUNTY JAIL
,,,BUFFALO HOLD ROOM
,,,BUFFALO SPC
,,,BULLOCH COUNTY JAIL
,,,BULLOCK COUNTY JAIL
,,,BUNCOMBE COUNTY DR.
,,,BURBANK POLICE DEPT.
,,,BUREAU COUNTY JAIL
,,,BURKE COUNTY JAIL
,,,BURKE COUNTY SHERIFF
,,,"BURLEIGH CO. JAIL, ND"
,,,BURLESON COUNTY JAIL
,,,BURLESON POLICE DEPT.
,,,BURLINGTON COUNTY JAIL
,,,BURNET COUNTY JAIL
,,,BURR RIDGE POLICE DEPT.
,,,"BUTLER CO JAIL, IOWA"
,,,BUTLER CORRECTIONAL
,,,BUTLER COUNTY JAIL
,,,"BUTLER COUNTY JAIL, PA"
,,,BUTNER FED.CORR.INST.
,,,BUTTE COUNTY JAIL
,,,BUTTE-SILVER BOW COUNTY JAIL
,,,BUTTS COUNTY JAIL
,,,BWATER ST HOSP BRIDGEWATE
,,,CA YOUTH AUTHORITY/NRC
,,,CABOT POLICE DEPT/JAIL
,,,CACHE CO. JAIL
,,,CADDO COUNTY JAIL
,,,CADDO PARISH COR. CENTER
,,,CALAVERA COUNTY JAIL
,,,CALCASIEU PARISH PRISON
,,,CALDWELL COUNTY JAIL
,,,CALDWELL PAR DET CENTER
,,,CALDWELL POLICE DEPT.
,,,"CALHOUN CO., BATTLE CR,MI"
,,,CALHOUN CORRECTIONAL INSTITUTION
,,,CALHOUN COUNTY CONSTABLE PCT 2
,,,CALHOUN COUNTY JAIL
,,,CALHOUN COUNTY SHERIFF
,,,CALIF. INST. FOR MEN/EAST
,,,CALIF. INST. FOR MEN/WEST
,,,CALIF. INST. FOR WOMEN
,,,"CALIF. MEN COLONY, EAST"
,,,"CALIF. MEN COLONY, WEST"
,,,CALIF. REHAB. CTR./MEN
,,,CALIF. REHAB. CTR./WOMEN
,,,CALIF. YOUTH AUTHORITY
,,,CALIF.INST.RECEPTION CTR.
,,,CALIFORNIA CITY CORECTIONS CENTER
,,,CALIFORNIA STATE PRISON
,,,CALIPATRIA STATE PRISON
,,,CALLAHAN COUNTY SHERIFF
,,,CALLAWAY COUNTY JAIL
,,,CALLOWAY COUNTY JAIL
,,,CALUMET CITY P.D.
,,,CALUMET COUNTY SHERIFF
,,,CALVERT COUNTY SHERIFF
,,,CAMAS COUNTY JAIL
,,,"CAMBRIA COUNTY JAIL, PA"
,,,CAMBRIDGE POLICE DEPT
,,,CAMDEN COUNTY JAIL
,,,CAMDEN COUNTY SHERIFF
,,,CAMELLIA GARDEN MANOR
,,,CAMERON COUNTY JAIL
,,,CAMERON PARISH JAIL
,,,CAMERON POLICE DEPT.
,,,CAMP COUNTY JAIL
,,,CAMP DODGE
,,,CAMP GEORGETOWN
,,,"CAMP OJBIWAY,MARENISCO,MI"
,,,CAMPBELL COUNTY JAIL
,,,"CAMPHILL SCI, PA"
,,,"CANADIAN COUNTY, EL RENO,"
,,,CANDLER COUNTY SHERIFF
,,,CANNON COUNTY SHERIFF
,,,CANTON TOWNSHIP POLICE DEPT.
,,,CANYON COUNTY JAIL
,,,CAPE GIRARDEAU COUNTY JAIL
,,,CAPE GIRARDEAU POLICE DEPT.
,,,CAPE MAY COUNTY JAIL
,,,CAPE VINCENT CORRECTIONAL
,,,CARBON COUNTY CORRECTIONL
,,,CARBON COUNTY JAIL
,,,CARBONDALE POLICE DEPT.
,,,CARIBOU COUNTY JAIL
,,,CARL JUNCTION POLICE DEPT.
,,,"CARLTON COUNTY JAIL, MN"
,,,CAROL STREAM POLICE DEPT.
,,,CAROLINE COUNTY DET CENTER
,,,CARPENTERSVILLE POLICE DEPT.
,,,CARROL COUNTY JAIL
,,,CARROLL CO SHERIFF'S OFFICE
,,,CARROLL COUNTY DET CTR
,,,CARROLL COUNTY DETENTION CENTER
,,,CARROLL COUNTY JAIL
,,,CARROLLTON POLICE DEPT.
,,,CARSON CITY CORRECTIONAL FACILITY
,,,CARSON CITY JAIL
,,,"CARSON CITY, CARSON, MI"
,,,CARSON COUNTY SHERIFF
,,,"CARSON CTY TEM FAC,CARSON"
,,,CARSWELL FED.MED.CTR
,,,CARTER COUNTY JAIL
,,,"CARTER COUNTY, ARDMORE OK"
,,,CARTERET COUNTY JAIL
,,,CARTHAGE POLICE DEPT.
,,,CARVER CO. JUVY DETENTION
,,,CARVER COUNTY JAIL
,,,CASA GRANDE REG. MED. CENTER
,,,CASA SAN JUAN
,,,"CASCADE COUNTY JAIL, MT"
,,,"CASS CO, IA, CORR FACILIT"
,,,"CASS CO., CASSOPOLIS,MI"
,,,CASS COUNTY JAIL
,,,CASS COUNTY SHERIFF
,,,CASSIA COUNTY SHERIFF/JAIL
,,,CASTRO COUNTY SHERIFF
,,,CASWELL COUNTY SHERIFF
,,,CATAHOULA CORRECTIONAL CENTER
,,,CATALINA MOUNTAIN SCHOOL
,,,CATAWBA COUNTY JAIL
,,,"CATHOLIC CHARITIES, CHI"
,,,CATOOSA COUNTY JAIL
,,,CATTARAUGUS COUNTY JAIL
,,,CAYUGA CORRECTIONAL
,,,CAYUGA COUNTY JAIL
,,,CC FORT WORTH SHELTER
,,,CCA CENT.AZ.DET.CTR.
,,,CCA DAVIS CORR FACILITY
,,,CCA NORTHEAST OH CORRECTS
,,,"CCA, FLORENCE CORRECTIONAL CENTER"
,,,CCC/SUSANVILLE
,,,CCF-DELANO
,,,CCF-FOLSOM
,,,CCF-LASSEN
,,,CCF-SHAFTER
,,,CCF/LEO CHEANEY
,,,CCI-TEHACHAPI
,,,CCM PHOENIX-COMMUNITY CORRECTIONS
,,,CCM SAN ANTONIO-COMM. CORRECTIONS
,,,CDC CALIPATRIA IHP
,,,CDC CENTINELA IHP
,,,CECIL COUNTY DETENTION
,,,CEDAR COUNTY JAIL
,,,CEDAR CREEK CORRECTIONS
,,,CEDAR HILL POLICE DEPT.
,,,CEDAR RAPIDS HOLD ROOM
,,,"CEN. FL REC. CTR.,ORLANDO"
