pvt_facility
North Central Correctional Complex
Taft Correctional Institution
Imperial Regional Detention Facility
Arizona State Prison Marana
Otero County Processing Center
West Texas Intermediate Sanction Facility
Giles W. Dalby Correctional Facility
Roach Unit (Programming)
Lockhart Correctional Center
Kyle Correctional Center
J. W. Hamilton Unit (Programming)
Willacy County Regional Detention Facility
Bridgeport Pre-Parole Transfer Facility
Sanders Estes Unit
IAH Secure Adult Detention Facility
Billy Moore Correctional Center
East Texas Treatment Facility
Diboll Correctional Center
Cleveland Correctional Center
South Texas Intermediate Sanction Facility
Wilkinson County Correctional Facility
Gadsden Correctional Facility
East Mississippi Correctional Facility
Walnut Grove Correctional Facility
Marshall County Correctional Facility
