CITY
"53. Alhambra, CA: Alhambra City Jail"
"54. Baldwin Park, CA: Baldwin Park City Jail"
"55. Downey, CA: Downey City Jail"
"56. Fontana, CA: Fontana City Jail"
"57. Garden Grove, CA: Garden Grove City Jail"
"58. Montebello, CA: Montebello City Jail"
"59. Ontario, CA: Ontario City Jail"
