year,det_facility,lift_reason,count
2007,KERN COUNTY JAIL (LERDO),Case Closed,32
2007,KERN COUNTY JAIL (LERDO),Booked into Detention,29
2007,KERN COUNTY JAIL (LERDO),Lifted,18
2007,KERN COUNTY JAIL (LERDO),Early Release,12
2007,KERN COUNTY JAIL (LERDO),Transferred,3
2008,KERN COUNTY JAIL (LERDO),Lifted,464
2008,KERN COUNTY JAIL (LERDO),Case Closed,225
2008,KERN COUNTY JAIL (LERDO),Booked into Detention,188
2008,KERN COUNTY JAIL (LERDO),Early Release,55
2008,KERN COUNTY JAIL (LERDO),Transferred,42
2008,KERN COUNTY JAIL (LERDO),Lifted - Lack of Funds,3
2009,KERN COUNTY JAIL (LERDO),Booked into Detention,606
2009,KERN COUNTY JAIL (LERDO),Lifted,268
2009,KERN COUNTY JAIL (LERDO),Case Closed,44
2009,KERN COUNTY JAIL (LERDO),Transferred,25
2009,KERN COUNTY JAIL (LERDO),Early Release,10
2009,KERN COUNTY JAIL (LERDO),Lifted - Lack of Space,1
2009,KERN COUNTY JAIL (LERDO),Lifted - Lack of Funds,1
2010,KERN COUNTY JAIL (LERDO),Booked into Detention,1326
2010,KERN COUNTY JAIL (LERDO),Lifted,88
2010,KERN COUNTY JAIL (LERDO),Case Closed,24
2010,KERN COUNTY JAIL (LERDO),Transferred,16
2010,KERN COUNTY JAIL (LERDO),Early Release,13
2010,KERN COUNTY JAIL (LERDO),Lifted - Lack of Space,1
2010,KERN COUNTY JAIL (LERDO),Alien Not Subject to Deportation,1
2011,KERN COUNTY JAIL (LERDO),Booked into Detention,1647
2011,KERN COUNTY JAIL (LERDO),Lifted,109
2011,KERN COUNTY JAIL (LERDO),Case Closed,23
2011,KERN COUNTY JAIL (LERDO),Transferred,10
2011,KERN COUNTY JAIL (LERDO),Early Release,8
2011,KERN COUNTY JAIL (LERDO),Detainer Declined by LEA,4
2012,KERN COUNTY JAIL (LERDO),Booked into Detention,1640
2012,KERN COUNTY JAIL (LERDO),Lifted,105
2012,KERN COUNTY JAIL (LERDO),Case Closed,19
2012,KERN COUNTY JAIL (LERDO),Detainer Declined by LEA,5
2012,KERN COUNTY JAIL (LERDO),Early Release,2
2012,KERN COUNTY JAIL (LERDO),Transferred,1
2013,KERN COUNTY JAIL (LERDO),Booked into Detention,862
2013,KERN COUNTY JAIL (LERDO),Lifted,64
2013,KERN COUNTY JAIL (LERDO),Detainer Declined by LEA,4
2013,KERN COUNTY JAIL (LERDO),Case Closed,2
2013,KERN COUNTY JAIL (LERDO),Transferred,1
2014,KERN COUNTY JAIL (LERDO),Detainer Declined by LEA,159
2014,KERN COUNTY JAIL (LERDO),Booked into Detention,155
2014,KERN COUNTY JAIL (LERDO),Lifted,16
2014,KERN COUNTY JAIL (LERDO),Transferred,6
2014,KERN COUNTY JAIL (LERDO),Early Release,3
2014,KERN COUNTY JAIL (LERDO),Alien Not Subject to Deportation,1
2015,KERN COUNTY JAIL (LERDO),Detainer Declined by LEA,22
2015,KERN COUNTY JAIL (LERDO),Booked into Detention,15
2015,KERN COUNTY JAIL (LERDO),Lifted,8
2015,KERN COUNTY JAIL (LERDO),Alien Not Subject to Deportation,1
