year,det_facility,lift_reason,count
2008,CONTRA COSTA JUV. PROBATION,Booked into Detention,1
2011,CONTRA COSTA JUV. PROBATION,Booked into Detention,1
2013,CONTRA COSTA JUV. PROBATION,Booked into Detention,1
