El Paso Multi-Use Facility,"El Paso, Texas",State of Texas ,360,- ,- ,Aug-16 ,(4) 1 year
El Paso Transitional Center,"El Paso, Texas",State of Texas ,224,- ,- ,Aug-16 ,(4) 1 year
Fort Worth Transitional Center,"Fort Worth, Texas",State of Texas ,248,- ,- ,Aug-16 ,(4) 1 year
Houston Processing Center,"Houston, Texas",ICE ,"1,000",Medium ,Medium ,Mar-16 ,-
Laredo Processing Center,"Laredo, Texas",ICE ,258,Minimum/ Medium,Minimum/ Medium,Jun-18 ,-
South Texas Family Residential Center,"Dilley, Texas",ICE ,"2,400",- ,- ,September 2018,-
T. Don Hutto Residential Center,"Taylor, Texas",ICE ,512,Medium ,Medium ,Jan-20 ,Indefinite
Webb County Detention Center,"Laredo, Texas",USMS ,480,Medium ,Medium ,November 2017,-
Cheyenne Transitional Center,"Cheyenne, Wyoming",State of Wyoming,116,- ,- ,Jun-16 ,Indefinite
D.C. Correctional Treatment Facility (N),"Washington, D.C.",District of Columbia,"1,500",Medium ,Medium ,Mar-17 ,-
